datapoint,misogynistic_label
"Ah, I don't know about Mayor, Pop. And, this weekend, we have a fine young woman with us. Shantaysia.",1
So she should go breathe. It's sex. Grow up.,1
"And what in the h-e-double hockeysticks is chapter eight? I mean, this-this is about hormone replacements for women, and yeast infections, and brassiere sizes and feminine washes... How the hell am I supposed to show this to Mr. Clint Eastwood?",1
"Wow. I thought she was a socialite. Like, all the charity work and... she loves animals.",1
"In the arena, women were pitted against animals and other women, but in a real-life battle, there are no such rules. Your opponent's size or sex should not be taken lightly. Reach is an advantage, but speed and agility can overcome a larger opponent.",1
I found her first. You got ta go find your own. You know what you should do?,1
You be interested in more what will happen to you if you got caught To drive without a license. Not interested in the woman bled to death because of you. You're scaring me.,1
How are you? Miss Carrie got herself up early and done some baking. Have you seen Carrie?,1
"Ladies and gentle critters, I am proud to present the sovereign matriarch of the Sovereign Bear Kingdom and her territories, Her Royal Majesty Queen Bear. Greetings. Queen Bear, you're so beautiful.",1
"Because, I don't know if you know this... but pregnant women can get very horny. Problem is, nobody wants to have sex with me. I'd have sex with you.",1
"I was kidding when I called you a pimp. It's just one drink, all right? Jude is a scary, hungry woman, and I'm not going anywhere with her.",1
"I'm not sure that's a compliment. It's not. Well, is it true?",1
"It's just -I felt bad for her. She was vulnerable, kind of like you were when we first met. She was dating that idiot.",1
"We've got a woman president! Ah, shit. Look who's here.",1
"The wind-burned fisherman who believes the professor. When a woman at her age gets down in front of the public and gives herself up like that, that man is guilty as far as I'm concerned. The sex harassment victim who trusts the judge.",1
Busted my ass for that woman. Gave her everything she ever wanted. So you married an ungrateful bitch.,1
"You're an asshole, Ken. And I'm a crazy sonofabitch who'll do anything in his power to keep that woman from being as miserable as you and me. Capisce?",1
"I'm not saying that young women are liars, but women that old don't ever talk about sex. They don't lie about sex. Seventy-year-old women lie about other shit.",1
"Now let the men talk here for a second. I've been dealing with her shit, her threats. She's using l.P.",1
"Your Honor, my client, Mrs. Adler is the maternal grandmother of the child. Her daughter, the girl's mother, was a troubled woman... who seven years ago, sadly, took her own life. It was at this time that Mr. Adler preemptively and illegally... took custody of the girl and spirited her across state lines... for the purpose of denying my client custody.",1
"You're a jerk. Look Mister Thang, you bumped into me.",1
"Huh? Don't count on it, Savage. Only an uncivilized brute threatens a woman, or anyone else for that matter.",1
"Well, sex has an ending. What these women want is fantasy. And if you're good, that fantasy never ends.",1
"And afterwards we drop into a quiet little place and have a drink or two? Are you all right, Honey?... talking to herself... strange. Honey, you should go to bed.",1
"And is it sexist to say that men are smarter than women? No,' cause you guys are dumb. Oh, my god!",1
"Cause my kid has a... a big game tonight, and I'm 50 miles away, dealing with a woman... Well, I'm sorry about that. Who thinks she can manage without bacon!",1
"They're not losers. They're just guys. They don't share their private, deep emotional feelings with each other like women do.",1
No. They're Italian. And that's a woman's cigarette.,1
"Where did this come from? I have no idea. It must be that woman, or someone.",1
Next. I remember the Slender Fit days. You must be doing your Kegels.,1
"Every time that chick's head twitches like she's having a seizure... we drink. There's one. God, I hate her.",1
"After the first kiss, continue to grind to sleep with different women. The first kiss tells the heart that you are ready to feel againand then we can begin to meet other women and to discover new relationships. Can we meet later?",1
"The strikes against men are, like, "" Creep. Just lecherous creep. "" Like, we're sexually harassing women on the street. Did you see the video of the woman who walked around New York, got harassed the whole time?",1
Thanks. Women. They never know what they want.,1
"I am also thankful that she walked out of my life and my business before she burnt the whole lot to the ground. What did Paul say? "" The accumulated knowledge of... the accumulated... "" "" The accumulated knowledge of women in the room. "" Yeah, the accumulated knowledge of women in this room.",1
"I've asked her what she wants for Christmas, But she just says she'll be happy with whatever I get her. Right. And everybody who believes that, raise your third hand.",1
What happened here? Miss Conrad there decided she wanted to earn herself a Purple Heart. Didn't do this on purpose.,1
It doesn't seem she's ready. She says she is and I believe her. She's so into me.,1
"But she's too ugly and disgustin' for me to fuck! So... find one... is the only way. So shut the fuck up, it's gonna be okay.",1
Beautiful women get away with a lot of shit. Hello? Carmen?,1
"She's a big girl, she can take care of herself. Yo, hey... can't we all just get along? Cheers!",1
"Fine, use your best judgment. If I was doing that I wouldn't be getting you juice. For heaven's sake woman, I'll get it myself.",1
She was a fine old woman. She will be buried here. Out there next to your father and your brother.,1
"Why is she so attached to that thing? Like, move on already! Yeah, I mean, it was super sad when her dad left, but, like, life goes on and...",1
"It's me, it's me HI give you my eyes Oh, take me up, oh, please, take me up I am helium raven waiting for you Please take me up, don't leave me here The son, the sign, the sign The true prophet, the true prophet A tortured woman, the true sign",1
"She thought of a new way to kill my love for the beautiful munchkin maiden, and made my axe slip again, so that it cut right through my body, splitting me in two halves. Once more the tinsmith came to my help and made me a body of tin. But, alas, I had now no heart, so that I lost all my love for the munchkin girl, I suppose she is still living with the old woman, waiting for me to come after her.",1
"I've read your book and I don't know what I can say about you that you haven't said yourself except for the fact that, uh, you came to this town 24 and 1/2 years ago and met my mother. And it was such a great honor for her. And she threw herself on you and you slept with her.",1
But I can't have any more good-natured tickle fights. I want to see you two destroy each other. But we like each other.,1
You're staying with her. You're not leaving us here unarmed! I saw the eviction notice!,1
"You're gonna meet some other women there, some other hot asses. You are gonna have truffle butter out the wazoo, my friend. That and PJ cocktails.",1
"Because I'm telling you very honestly, if I had a gun, that woman would have gotten shot! But not out of being a tough guy, or being angry, I would have panicked, because I can't fight for shit! And any woman that walks up to a guy 00 in the morning and goes, "" You white mother fucker, "" and punches him probably could kick the shit out of me!",1
"You wanna get dinner tonight? Did you approach her, or... i don't know, i guess. We were at a club and my buddies and i had a table, and one of my friends invited a bunch of girls up, and we sort of just hit it off.",1
"That's way too much. Honey, do you want the place or not? Yes.",1
I apologize Come here. Come here and cuddle with me. Sorry.,1
It's the one's who play hard to get that are always the sweetest prey. That's what makes Belle so appealing. She hasn't made a fool of herself just to gain my favor.,1
"I'm telling you, twos and threes are some open-minded ladies. I wanna find that girl. You get her name?",1
Yes. She's an attractive woman. Okay?,1
"What is that funky smell? It's... Squirrel Lips, are you wearing women's perfume? No, sir, sorry, that's me.",1
"Nate's whore. Hey, that's his girlfriend! Nope, she's right.",1
Thanks. There's nothing wrong with two adults hanging out as friends. Men and women can't be friends.,1
"I'm telling you. In a perfect world, I should be that happy. I started seeing this woman, Joan.",1
"Yeah, here a woman's average lifespan and is 90 to 100 years. Send my wife home immediately. What is this?",1
"Yeah, why wouldn't I? Well, I mean, you've heard the stories. Nice guy has drinks with a strange girl in a casino, she gets him up to her room, one thing leads to another, he wakes up three days later missing a kidney.",1
"What, a-a woman? I mean, she's so free. She's so eloquent with her body.",1
"He's of a very melancholy disposition. He were an excellent man that were made just in the midway between him and Benedick. The one is too like an image and says nothing, and the other too like my lady's eldest son evermore tattling.",1
"Sex. Did he tell you about the, um -The woman that you picked up in the bar in West Hollywood? Oh, yeah.",1
"Well, in that hit you She'll not be hit with Cupid's arrow ; She hath Dian's wit ; And, in strong proof of chastity well arm'd, from love's weak childish bow she lives unharm'd. Then she hath sworn that she will still live chaste?",1
She was just a child herself. She wouldn't marry your father no matter how much we pleaded. She wouldn't make it right with the church.,1
"Such a man would win any woman in the world, if he could get her good will. By my troth, niece, thou wilt never get thee a husband if thou be so shrewd of thy tongue. In faith, she's too curst.",1
"He even bought me this dress, just like "" Pretty Woman. "" Right. Ahem. She looks good in red.",1
"I don't know you got a good thing going man in my opinion. Yeah but with you, if you see a bad bitch walking down the street, you could just link her with somebody you've already been with. Yeah more or less but fashion trends tend to shift on a fairly annual basis.",1
He made me take off my clothes. What? Why didn't you stop him?,1
"Lord Haman's daughter, the lady Zara, is a woman of great modesty, my king. She wouldn't dream of appearing before you with her face uncovered. An admirable quality, I suppose.",1
Moon the bastards. I was thinking about getting a recording of a woman screaming... and blasting it out the window. Let me know.,1
"So, I don't get it. If you really like sheryl, why don't you get her to move here? She's a fabulous woman, and, surprisingly enough, she likes you.",1
Then we thought she gathered us all because she wanted to kill herself. She's very theatrical We moved off that.,1
"Enough about work, man. Let's talk more about the women. We were talking about this girl or that girl or going out partying.",1
"EVAN : She was drunk, though. I was drunk. EVAN : She had her beer goggles on.",1
Maybe she is a Mormon. Ladies. You're back.,1
"You stay with her, this pain medication can have some side effects. Oh, no funny business, you two. Right, because I can't wait to hook up with the guy that got my ankle broken in two places.",1
"Well, that makes you a very dangerous man, Bruno. Our entire society's built on having more, bigger house, faster car, more beautiful woman. What if everyone decided they'd had enough?",1
"Richie, do you want some honeysuckle tea? I guess. I learned then, when it comes to women, there's always a catch.",1
"You want me to whip you into shape, you little shit? What the hell kind of sound is that? You sound like an old woman coughing up a hair ball, you little shit.",1
"Okay, get her. Sit. Are you hurt?",1
You guys. We're so crazy. I'm wearing women's underwear.,1
"No, can't lay down flat like that. Yeah. Women who is well-endowed can't lay flat.'",1
Shine it up. Shine it up. Look at her shining my balls.,1
"Because when Victoria had too much... To drink the other night, she told me she slept with him. I'll talk to the other guys, see what they know about it.",1
"Hey, Danny... Have you ever fucked a girl Until her asshole bleeds? Jesus...",1
"Yeah. Well, she she found herself a man at 14. Now, not that you want to aim as low as her, but there ought to be a nice boy out there for you.",1
"I know. She's taken care of herself her whole life. I mean, she's emotional.",1
Yeah. I can tell Princess Sparkle Thong knows all about eating from a dumpster. Kori is a refugee being stalked by her homicidal sister.,1
"Now I've got a woman She's got a magic spell on me Go to sat cam 6. Bye, Lauren.",1
"You'll be a woman of property and inherit... all of your family's fortune. I don't want anything to do with my great-great-uncle Basil. They can give all of it away, for all I care.",1
Nobody can! But I do know this. He'll do anything to keep her from racing.,1
"My mom's gonna be pissed. She's a fine ass. Dawg, that's my mom.",1
"Do you want me to shoot her? Shoot to kill, shoot to kill! Then vote "" Yes. "" Vote "" Yes "" if you want me to shoot her!",1
"I assume, she's here to accept that Purple Heart. Is that right? Everybody gets one now.",1
"I love her already. Yes, please, sweetie, come on. You want me to take that, babe?",1
"And he was so devout. There's no way-Kate, how devout can a man be That rapes and bleeds 12 young women? But he didn't do it, not any of it.",1
"You smell good. When I find you, I caress you and I use you for myself. Oh, yes.",1
Bingo. At least she had permission before she cheated. My husband has been fucking at least one woman on the side ever since before our wedding.,1
She sells herself better than anyone I've ever met. I think there was some sexual tension. I've always wanted sexual tension.,1
"I work with you guys, don't I? Them ain't the type of nuts we're talking about, Alexa darling. Alexa darling?",1
At the very least three beautiful women who all loved me. And who will all show up at my funeral. His was a dynamic voice in a paralyzed body.,1
"Guys guys, she's, like, hot-hot. I admit, I kind of wanna touch her hair but she's no Elisa from tech support. That's true.",1
"Okay, so why would she do this? To appear more nerdy. It was all an act.",1
"Cunt. She told everybody, you heard her. Jim, you don't have to do this.",1
"What the fuck is wrong with you? It started off as a prank, Sarah. But it...",1
What is with her? She's feral. Probably raised herself up in the wilds.,1
Can we put Dancer and Prancer back in their stable? Are you body-shaming her right now? Some people here might find your outfit offensive.,1
"That's why Fifty Shades of Grey was popular.' Cause women are tired.' Cause I didn't read that book, but I know I know that the main character ties the woman up.",1
"Oh, you like that? He was video chatting with this girl, it turned into sex... her boyfriend posted it to Revenge Girlfriends. And cut to the Chase!",1
"Keep it moving! "" "" I don't wanna get in a fight! "" So, men can do that. Women really can't. And the reasoning isn't because men are dicks, there's nothing like that, it has to do with the wiring of our brains.",1
Here's the address. They'll be expecting you. It's a brief interview with the woman of the house.,1
"You're gonna hit her in the face. What's going on, man? Come on.",1
"Yeah, we getting there. One more day till we open. So, where you hiding her?",1
Bravo! Just kiss her! So... this is how my first love affair ended.,1
"Yes, yes, they were divine. Thank you. Sharon was a good woman.",1
"Hurry up. All right. You're going to give me heart attack, woman.",1
"Half these women don't even speak English. Please don't tell me you feel sorry for the losers trying to buy a wife online. If you want to feel bad for someone, feel bad for these girls.",1
"Stop begging. You sound like a woman. Dennis, I know you gave them stuff.",1
"Full of grace, the Lord is with you. You are blessed among women And blessed is the fruit of thy womb, Jesus.",1
"God, she's such a bitch. Yeah, she is. Oh, yeah.",1
"Believe it or not. This girl, Kimmy, and Wow, I even thought we were gonna get married but, What happened? Um, she cheated on me.",1
"That's my relationship with women. It's helping them, expecting something in return. Hi Kat.",1
Yeah. No. Annie. You don't pay me to worry about her.,1
Then why was he looking at the rack?' Cause he had buck fever. She'll say anything you say.,1
I've worked for this company for 30 years. I deserved to be president. They owed it to me.,1
"It's been, uh it's been crazy with this pre-medical magic over here. * it's walkability * it doesn't matter to me so, anyway, i get up for one second, and this this girl this post-producer girl, she gets up to check her e-mail at my desk. My desk.",1
The sexy grandmother. Yeah! I always felt like she had a secret.,1
"How? I watched this girl open up her wrist in front of me, and she's talking about some kid, she's comparing herself to him, never heard of him before so I think, well, I'll just, I don't know, find some answers for her? Maybe help her out a little bit?",1
This woman knows how easily not. Billy Mutz. Mutz? Have not Contact for five years.,1
Says the little girl covered in shit. So Jenny what have you been up to? From the mud on your boots today it looks like you've been working.,1
"I don't think music is helping. Music has gotten so rude towards women. Have you guys heard the song "" Fight Night. "" No black people here?",1
"And then in the final category, the toy category, we have the hot women. Not attractive. Not cute.",1
She told me that she didn't want me to be in the house. She'll cool down in time. She's a particular woman.,1
"If I can't have it all with one woman, I'm going to find it in however many women I can. Todd, these compulsive habits you have, they're not healthy, bro. They're not, all right?",1
"No, he left her for a 26 year old firefighter named Brick. Big son of a bitch. Oh, yeah.",1
She's lying. We could try being friends. Stop it!,1
Thank you. She is even more beautiful than I ever could have imagined. Thank you.,1
"Sure. Wow, she's beautiful. I married my childhood sweetheart.",1
"You have something that don't belong to you, Detective. Wait, I know you, from Henry's file. You're that Degraty woman...",1
Don't look at me like that. It's a beautiful cave. She's gonna love it.,1
"He must be lying low with the broads. Then, stick her on a train and shool Very well, sir. So is Lt. Norbert...?",1
"Who knows, we'll see. Yeah, it is what it is, you know? I mean she brought this on herself, right?",1
Stupid. Women are more jealous than men. All we have to do is glance at a woman and they got something to say.,1
"It would fucking destroy it, just blow it right apart. Now you know what a 44. magnum would do to a woman's pussy? "" I got ta say, it's pretty fucking disturbing.",1
Trying to show their dad their big dicks. I think if women ran the world... All the big structures...,1
We can do better. No mermaids. I worry for women.,1
"This is a hiney worthy of a French woman. This other girl, I have her She dances and eats bread I train her. She's like she has she has two left boobs.",1
"Do you understand what I'm saying? A'ight, I'll do it. You got ta handle her too.",1
"IAN (O.S.): All you do is antagonize her. Please, just lay off.",1
I can't believe you care about women's clothes. Like you're so metrosexual. That's not women's clothes.,1
"Mrs. Zoe. Good morning. Let me give you some advice, Church is not the place for distractions. Okay?",1
"Now my show. Bye bye, baby. But her boyfriend?",1
"First 20 minutes, it wastes a kid, Kills dogs, raping women on the beach. It's just an outrageously, unbelievably, Shocking, schlocky, Great horror movie that I absolutely love And heartily recommend. You are watching 50 Best Horror Movies You've Never Seen.",1
"I know you're thinking about domesticity and settling down and how cute that will be. And it really bugs me when men let woman-shit get in the way of man-business. There's two words you need to "" God "" and "" America. """,1
"You're big, hey. Lookee here. There's your daddy.",1
"The kill is mine, remember. Guns are for old men and women. We are neither.",1
"You don't have a car. Baby, with love like ours... I don't need a car.",1
"I'm totally lost again. It's the hormone that makes women fall in love and get maternal. And if it were high enough, survival reaction blocks the embryonic cells and defaults into my adult stem cells.",1
Thank you all for coming out. I would like to address the ridiculous allegations made against me. I want the voters to know that I am a victim of a woman who desires fame.,1
She has a fever. She's hot! Who was that woman?,1
"I'm just gonna take out your wife myself. Since when are you interested in women? Ben Cahill, was that a joke?",1
"Or like being walked all over lately, walked all over lately I'd rather be crazy Hold up, they don't love you like I love you Slow down, they don't love you like I love you Back up, they don't love you like I love you Step down, they don't love you like I love you Can't you see there's no other man above you What a wicked way to treat the girl that loves you Hold up, they don't love you like I love you Slow down, they don't love you like I love you Let's imagine for a moment that you never made a name for yourself Or mastered wealth, they had you labeled as a king Never made it out the cage, till out there moving' in them streets Never had the baddest woman in the game up in your sheets",1
"What can we do? That fucking Dean. What woman is named "" Dean ""?",1
"Will they let me talk to him? It's for Nick, it's his wife. Now why would the kid's wife have the private line?",1
You've been together all this time and you haven't even realized? You took her from us. It was only fitting we took something from you.,1
"Secret crushes, secret schemes. I can't imagine anything more delicate, or bittersweet. Some part of you girls I always identified with... no matter how old you get, a woman's hard-pressed to throw off that part of herself.",1
"I'm not sure how I'd react to another woman in my kitchen. Especially so early in the morning, but you are a dear. We will get out of your way, right away.",1
"I love it more than food, money. If I knew by laying down with a woman I was going to die, I'd probably still have sex. And when I think about all the risks I've taken, I can't believe I did those things.",1
"Bullshit. If you love me, you don't go around screwing other women. Look, sometimes I go too far, okay?",1
"And then, if he told you where to go, then you acampar? as. Would you like women?",1
What did you tell her? Nothing. It's not my fault your little groupie can't take a joke.,1
"You so much as piss on that wall, you know what them people gonna do? They gonna find us and stick us in a damn shelter. Daddy says brave men don't run from their home.",1
"Dude, even I want to fuck her. See, gayer than a school gay boy. I'm not about to have sex with anybody.",1
"And I think she was the most brutal... and I say that with affection... the most brutal comic I ever saw perform! She made fun of AIDS, she made fun of 9-11, I mean, recently she called Michelle Obama a "" trannie! "" I'd be scared to text that to somebody! And when they asked her about it, expecting an apology, like, "" Why did you say that? """,1
"Ow! I've got you Now, my little fish... Ah!",1
Let's go. Go! All we wanted was a name.,1
"How simple is that? What we have here, is the failure of a woman. Who sinned against God and against her husband.",1
Round. Round. Teat-shaped.,1
"You got ta eat some fuckin' pussy, man. You get good at eating' pussy then she'll like never have a reason to fool around on you. I've never looked at it in that way.",1
"Yeah. Leave her alone and go get lost, okay? And Kara, it smells like Riley needs a diaper change or something.",1
"This woman is some crazy stalker who stole her identity. Whoa, whoa, whoa. You're making a huge leap here.",1
"Yet the roots of its wings are still there. And the nature of wings is to try to raise the earthbound body and soar with it into heaven. When we see a beautiful woman, or a man... the soul remembers the beauty it used to know in heaven.",1
"She just.. Would drop me off at music class or dance class and then go off for a spa day, so. Oh.",1
But you know what I was proudest of? Mentoring a lot I was proudest of? Mentoring a lot of those young women.,1
"I, uh... I feel just awful. Well, shake it off. If you knew what the old lady says behind your back, you would have done it on purpose.",1
"Don't mind him, Colin. He's got woman troubles. You know how that goes.",1
"It's all right. Yes, sir. Have you seen that young woman around, the young lady who hangs out down here?",1
"Okay, and is that not, you know, sexist, Jen? I mean, okay, I guess I clearly don't understand women. I mean, it's not like I said chicks are more manipulative or controlling.",1
"The coyotes will have sport when they devour you tonight! You hijo de la bruja! My uncles had betrayed Ultima before, so I ran to save her myself.",1
"I told you not to get angry. I'm not angry. I'm confused, OK.",1
"But to think that I I spent my whole life working for women' cause I have control over their bodies... and now I've to call my "" he "". Ray! Let me talk to you for a second.",1
"A Little Yellow-Sweatered Birdie Walker -Gave Me His Phone Number In Paris, And Now Jean-Frank Is Giving Me An Interview Right After The Concert. Um, Mrs. Cross, I Need To Call My Mom. She Just Had A Baby -Three Of Them.",1
"You can with weapons very good deal. I know of no woman, so well to handle it. I wanted to the police.",1
"When we do meet some women, I have the perfect card trick. Please put those away. Come on.",1
"Don't pull your love out on me, honey Take my heart, my soul, my money, but don't leave me to drowning... I got to do something for Shrubbie or there's no deal. I'm in the phone booth, it's the one across the hall If you don't answer, I'll just ring it off the wall I know he's there, but I just had to call Don't leave me hanging on the telephone Don't leave me hanging on the telephone I heard your mother now, she's going out the door Did she go to work or just go to the store",1
She's a grown woman. She can take care of herself. So it's obviously not you.,1
""" No-one says giblets in a hen... That means the chicken's already dead. Women are always chastised for talking a lot.",1
Where is she going? I... I have no idea. She came over here all upset.,1
"Three thousand women. You got some ideas? Yeah, I got some ideas.",1
"All right, here's a good one. I'm a shit-eating twat waffle. I do know what that means and it's not flattering.",1
It was a good test. A woman has to know what sort of man she's dealing with. What sort of man am I dealing with?,1
This is what we do. South Africa and England. We go in your country and take your women.,1
That's just embarrassing. You're so cute. I'm so sorry that I couldn't make it to your celebration.,1
"We did that already, honey. I talked to the office, and they said nobody's turned it in. Well, I want to go look again, because somebody took it, so...",1
"Somebody has a play coming up! That's so exciting, honey. Come on.",1
"Have a feeling Max Max, go for it. Dude, I bet she uses this on Ms. tilf. I bet you they use it on each other!",1
"I've molested of 20 young women and small children. And then, I've photographed them. I have committed four murders in four separate occasions.",1
"While I'm here, women will be dressed appropriately. Yes, sir. What about the money?",1
Good. You look great. You look great.,1
"Just as I know my Jenna, showered your child with love, which she herself has not experienced. Together with a man, she loves above all else and with whom she wants to build a family. Do you really not want you to him at least should give a chance also to make a decision?",1
"Any news on the sponsor front? Oh, you know. "" We'd sure love to, Miss Parker, just as soon as this economy picks back up. "" I heard that there's gonna be a big honcho... from the Cactus Saddlery here tonight.",1
"Just spears him! Right in the chest. The kid went to the hospital for two days but I'll tell you one thing, never called me a faggot again.",1
It was crystal blue. You were wearing that little white dress I bought you... with the little yellow. Sashaying you were sashaying around... like you were eight years old... but you was looking like a grown-ass woman.,1
"Can I tell you what it means? It means that we would've lost Alison. If that woman hadn't been there, we would've lost her.",1
"You're addicted to the women, the drama. You're always looking for a new high. Man,",1
"Hey, you should at least let her finish the show. I got a lap dance coming to me. Oh!'",1
"Why not? It's romantic. Quirky, messy women whose problems only make them endearing are not real.",1
"What kind of straight man has women friends? Why when someone shows up solo that everybody thinks gay? I mean, if he was gay, wouldn't he bring a guy?",1
A girl needs her BFF. Whoa! Got ta go!,1
""" These guys at p90x, you want to look hot, just get in shape. I think women in our country have too many options for weight loss to the point of paralysis. There's so many options.",1
"No it's men are from Mars, women are from Venus. That was great. All right.",1
"works. Creator t? Star's.? I? judge me, woman.",1
You ever seen 100 women get wet at the same time? Watch this. Aw.,1
"Yeah, you heard what the lady said. Get me some alcohol. Um... Okay, great.",1
"I flew halfway across... You know, halfway across the world. To see this woman who I never thought I'd see again.",1
"The men will cheer and the boys will shout The ladies, they will all turn out And we'll all feel gay When Johnny comes marching home.? I'm so pissed.",1
"Run through the whole cycle? Yeah, it passed with flying colors. She's ready to roar.",1
"Homegirl owns your ass, dude. Dude, she wants to move in. She's always over, you know.",1
Is she allowed to talk like that? He sent you here with no real knowledge of what you are dealing with. Do you even know what it is that we do here?,1
"But quickly found that the classical arts didn't always cater to girls like her. She had used her mother's attitude as a way of transforming herself. "" Use what you got to get what you need, Erica. "" Those were the echoes of her mother.",1
You will parish in a head and bolt from above! Are you ok? Bless you child.,1
"Things happened. Yo, you stole his woman while he was in the joint. That's even more fucked up.",1
Women. That's nothin' more than strumpets... Preachin' the heretical doctrine of free love.,1
"Yeah, I read the Grand Jury testimony. This is gonna be your office. Oh, 5 women.",1
"She can handle it. Although I warn you, one of you might need to take over. One of us might...",1
Stop that! I said shut up! Make sure everyone is secured.,1
"I'm not letting them take her! Last time, you didn't listen to me... about that fucked-up fianc? of yours, and look where that got you.",1
"What a woman. Hey, guys! I think I found something.",1
"Fellas, every woman in here is settling. Yeah. They're all settling.",1
Where's the whore? She went that way. And you let her go?,1
"Sir, I wasn't expecting... I have orders for Agent Carter. If this is about last night, rest assured she will be properly disciplined. I'd say that last night more a notch in her belt than a feather in her cap.",1
That white woman beat the black out that boy. That's why he ran into that tree. All was left was the Asian.,1
Why is she rubbing herself like that?' Cause it gets her off. Looks painful.,1
It's pathetic what happened to my sister. I looked up to her. She was so strong.,1
"You sure? There's somethin' I need you to do for me. Baby we had all kinds of women with like nothing, you know, you right up your alley, dawg, you know what I'm sayin'?",1
"It is interesting. During the mating season, the female will scream to attract the male, and it sounds just like a woman screaming when... when, you know, when she's... when she is loved, eh? Oh, yes.",1
Nice guys never get laid in college. And never ever tell an attractive girl she's pretty. She's used to hearing this.,1
"Lady, I would just prefer to show my work to Ms. klein herself. Look, if you want Ms. klein to see it, it has to go through me first. That's just how it works.",1
"If you said it like that I'm not surprised she blew you off, come on, man. You need to learn how women think. Now you hurt her, Ricky.",1
She's beautiful. She's young. She's amazing.,1
"And when I finally agree that I'm gonna go to the bathroom, I become the most stealth-like ninja human being you've ever seen in your life. I start edging towards my side of the bed. And while I'm doing that, I'm pushing up the blanket right behind her, you know?",1
At least for the next 24 hours. People still hate you. Women want to scratch your eyes out.,1
You could never close. She was closeable. I would've closed.,1
"You got kids? You don't think I'm mommy material? No, no... no.",1
"Now get the hell out of here before the woman shows up. They're going to arrest her. We were right, the watch is important.",1
"What are you grinning at? Oh, it's just women's lib. You know something, I'm cold.",1
"That's what a woman kisses like. You feel the difference? Yes, I do.",1
"Spoken like a woman who's been married for ten years. Exactly. You know, will does some shit that drives me out of my mind.",1
"The top of the fucking or the top of the scene? You want me to get you off? No, I'm okay.",1
No. Perfect. I do not like labels. You are my woman.,1
The movie stays on! Whatever. Women are demented.,1
"I didn't think you were one of those girls who drops her friends the second she gets regular dick. Nice. So, let me get this straight.",1
"Are you a libertine? Yes, I am. I love women.",1
"I was gonna say more, you know, sure she's gay, but, yeah, what do you really think? No, I just... I think that you deserve to be with somebody who's got their shit together.",1
"Snow and Charming are absolute equals, for sure. Aah! I felt like these were really incredible characters and a lot of really strong women characters.",1
"I actually talked to Alejandra so she's gonna be there and she's back with Manuel and I know I shouldn't be upset, but I don't understand why she's with someone that treats her like shit, you know? And I was just trying to talk to her and I feel like such a mom and I'm just like, I don't know, anyway, whatever. We shouldn't be thinking about that.",1
"It was just, you know, pure animal attraction. Just women just coming at me, and I had to, you know, get them away. When was the last time you ejaculated inside of a woman?",1
